File,Size Metric,Density Metric,Separability Metric,Constraint Variability Metric
model10.json,30,1.2,0.16666666666666666,0.5991556706386704
model102.json,20,1.0,0.1,0.6223659728744494
model102_anthropic_reconstructed.json,40,2.1,0.025,0.9891508786354839
model102_anthropic_zeroshot_reconstructed.json,20,1.0,0.1,0.5032583347756457
model102_deepseek_reconstructed.json,20,1.0,0.1,0.6223659728744494
model102_deepseek_zeroshot_reconstructed.json,20,1.1111111111111112,0.05,0.5816718657178868
model102_xai_reconstructed.json,20,1.0,0.1,0.6223659728744494
model102_xai_zeroshot_reconstructed.json,20,1.1111111111111112,0.05,0.6783898247235198
model102_zai_reconstructed.json,20,1.0,0.1,0.6223659728744494
model102_zai_zeroshot_reconstructed.json,20,1.1111111111111112,0.05,0.6783898247235198
model107.json,20,1.1428571428571428,0.15,0.4570676098006454
model107_anthropic_reconstructed.json,20,1.1428571428571428,0.15,0.4570676098006454
model107_anthropic_zeroshot_reconstructed.json,20,1.1428571428571428,0.15,0.4570676098006454
model107_deepseek_reconstructed.json,20,1.1428571428571428,0.15,0.4570676098006454
model107_deepseek_zeroshot_reconstructed.json,13,1.0,0.6153846153846154,0.5
model107_xai_reconstructed.json,20,1.1428571428571428,0.15,0.4570676098006454
model107_xai_zeroshot_reconstructed.json,20,1.2222222222222223,0.05,0.7204930400545078
model107_zai_reconstructed.json,20,1.1428571428571428,0.15,0.4570676098006454
model107_zai_zeroshot_reconstructed.json,19,1.1428571428571428,0.10526315789473684,0.4570676098006454
model109.json,20,1.0,0.15,0.6670296742201793
model109_anthropic_reconstructed.json,32,1.9,0.03125,0.9877523917548539
model109_anthropic_zeroshot_reconstructed.json,20,1.0,0.15,0.6670296742201793
model109_deepseek_reconstructed.json,20,1.0,0.15,0.6670296742201793
model109_deepseek_zeroshot_reconstructed.json,19,1.0,0.10526315789473684,0.7536839766284379
model109_xai_reconstructed.json,20,1.0,0.15,0.6670296742201793
model109_xai_zeroshot_reconstructed.json,20,1.0,0.15,0.6670296742201793
model109_zai_reconstructed.json,20,1.0,0.15,0.6670296742201793
model109_zai_zeroshot_reconstructed.json,20,1.0,0.15,0.6670296742201793
model10_anthropic_reconstructed.json,30,1.2,0.16666666666666666,0.5991556706386704
model10_anthropic_zeroshot_reconstructed.json,29,1.2,0.13793103448275862,0.5991556706386704
